id,from_pms,sikka_sub_task,sikka_sub_task_operation,last_updated,category,health_category,office,name,procedure_code,procedure_code_description,abbreaviation,procedure_code_category,procedure_code_category_id,explosion_code,submit_to_insurance,allow_discount,procedure_code_effect_on_patient_balance,procedure_code_effect_on_provider_production,procedure_code_effect_on_provider_collection,procedure_code_type,notes,patient_friendly_description,link,price,tooth_quad,estimated_cost,insurance_estimate,discount
4078,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,99991,!!!Orthodontic Services:(Total Fee Only) ______________,,,,,,,,,,,,,,,,,,
1362,TRUE,SikkaTaskLog object (918),update,,,ADJUNCTIVE SERVICES,21-Dentalhouse - Woodbridge Dental,,99777,!!!Charges for professional serv billed to Dr. for Pati,,,,,,,,,,,#NAME?,Charges for professional services passed to the patient,,I.C.,,,,
10731,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,99113,Oral pathology biopsy services when provided in relatio,,L,,,,,,,,,,,,,,,,
4437,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,57341,!!!Mandibular Resection Prosthesis with Guide Flange+L,,,,,,,,,,,,,,,,,,
4438,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,57321,!!!Lingual Prosthesis +L,,,,,,,,,,,,,,,,,,
4736,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,39220,!!!Hemisection - Maxillary Molar,,Endodontic Services,,,,,,,,,,,,,,,,
4771,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,33512,!!!Insertion Of Dentogenic Media Two Canal,,Endodontic Services,,,,,,,,,,,,,,,,
4772,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,33511,!!!Insertion of Dentogenic Media One Canal,,Endodontic Services,,,,,,,,,,,,,,,,
4773,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,33504,!!!Apexification - Four Canals Or More,,Endodontic Services,,,,,,,,,,,,,,,,
205,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14301,Motivation of Patient-Psychological Approach-per visit,,,,,,,,,,,"Motivation of Patient - Psychological Approach (e.g. thumb sucking, lip biting, etc.) - per visit ",Behavioural Approach for Oral Habits,,105,,,,
204,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14202,Appliances Fixed/Cemented Control of Oral Habits-Mand+L,,,,,,,,,,,"Appliances, Fixed/Cemented, Control of Oral Habits - Appliance, Mandibular + L",Fixed Appliance to Control Oral Habits - Lower Teeth,,413,,,,
203,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14201,Appliances Fixed/Cemented Control of Oral Habits-Max+L,,,,,,,,,,,"Appliances, Fixed/Cemented, Control of Oral Habits - Appliance, Maxillary + L",Fixed Appliance to Control Oral Habits - Upper Teeth,,413,,,,
202,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14102,Appliances Removable Control of Oral Habits - Mand+L,,Oral Hygiene,,,,,,,,,"Appliances, Removable, Control of Oral Habits - Appliance, Mandibular + L",Removal Appliance to Control Oral Habits - Lower Teeth,,311,,,,
201,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14101,Appliances Removable Control of Oral Habits - Max+L,,Oral Hygiene,,,,,,,,,"Appliances, Removable, Control of Oral Habits - Appliance, Maxillary + L",Removal Appliance to Control Oral Habits - Upper Teeth,,311,,,,
194,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,13401,Sealants Pit and Fissure - First Tooth,,,,,,,,,,,"Sealants, Pit and Fissure (Mechancial and/or chemical preparation included) - First tooth",Teeth Sealants - First tooth,,38,,,,
193,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,13249,Oral Hygiene Instruction Audio Visual Two+ units,,Oral Hygiene,,,,,,,,,Oral Hygiene Instruction - Audio Visual - Each additional unit over two (15 minutes),Oral Hygiene Instruction - Audio/Visual ,,No Fee,,,,
192,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,13242,Oral Hygiene Instruction Audio Visual Two units,,Oral Hygiene,,,,,,,,,Oral Hygiene Instruction - Audio Visual - Two units (30 minutes),Oral Hygiene Instruction - Audio/Visual,,No Fee,,,,
