support,itemsets,length
0.01494328097731239,frozenset({'20111'}),1
0.0031631762652705063,frozenset({'21111'}),1
0.0063263525305410125,frozenset({'21112'}),1
0.0025087260034904013,frozenset({'21113'}),1
0.00512652705061082,frozenset({'21211'}),1
0.02650523560209424,frozenset({'21212'}),1
0.014179755671902269,frozenset({'21213'}),1
0.0037085514834205935,frozenset({'21214'}),1
0.029013961605584643,frozenset({'21221'}),1
0.046793193717277484,frozenset({'21222'}),1
0.03381326352530541,frozenset({'21223'}),1
0.016470331588132634,frozenset({'21224'}),1
0.004363001745200698,frozenset({'21225'}),1
0.003381326352530541,frozenset({'21401'}),1
0.0031631762652705063,frozenset({'21402'}),1
0.039485165794066315,frozenset({'23111'}),1
0.05301047120418848,frozenset({'23112'}),1
0.05791884816753927,frozenset({'23113'}),1
0.03773996509598604,frozenset({'23114'}),1
0.011234729493891798,frozenset({'23115'}),1
0.004799301919720768,frozenset({'23221'}),1
0.04330279232111693,frozenset({'23311'}),1
0.0599912739965096,frozenset({'23312'}),1
0.04668411867364747,frozenset({'23313'}),1
0.026287085514834205,frozenset({'23314'}),1
0.00556282722513089,frozenset({'23315'}),1
0.10863874345549739,frozenset({'23321'}),1
0.11485602094240838,frozenset({'23322'}),1
0.07907940663176265,frozenset({'23323'}),1
0.04668411867364747,frozenset({'23324'}),1
0.011889179755671902,frozenset({'23325'}),1
0.01156195462478185,frozenset({'23511'}),1
0.018760907504363003,frozenset({'23512'}),1
0.005671902268760907,frozenset({'23513'}),1
0.00599912739965096,frozenset({'23602'}),1
0.003599476439790576,frozenset({'25531'}),1
0.018106457242582898,frozenset({'25711'}),1
0.0034904013961605585,frozenset({'25731'}),1
0.00512652705061082,frozenset({'25761'}),1
0.003599476439790576,frozenset({'26102'}),1
0.0025087260034904013,frozenset({'27201'}),1
0.004472076788830715,frozenset({'27205'}),1
0.08147905759162304,frozenset({'27211'}),1
0.0032722513089005235,frozenset({'27215'}),1
0.01407068062827225,frozenset({'27602'}),1
0.0063263525305410125,frozenset({'29101'}),1
0.006762652705061082,frozenset({'32231'}),1
0.02137870855148342,frozenset({'33111'}),1
0.019524432809773125,frozenset({'33121'}),1
0.029450261780104712,frozenset({'33131'}),1
0.0025087260034904013,frozenset({'33141'}),1
0.002617801047120419,frozenset({'34411'}),1
0.006544502617801047,frozenset({'42311'}),1
0.003817626527050611,frozenset({'42331'}),1
0.012543630017452007,frozenset({'43400'}),1
0.01886998254799302,frozenset({'43411'}),1
0.09380453752181502,frozenset({'43412'}),1
0.08595113438045375,frozenset({'43413'}),1
0.0462478184991274,frozenset({'43414'}),1
0.011234729493891798,frozenset({'43417'}),1
0.0037085514834205935,frozenset({'43423'}),1
0.0231239092495637,frozenset({'49211'}),1
0.010143979057591623,frozenset({'49219'}),1
0.04635689354275742,frozenset({'49421'}),1
0.03588568935427574,frozenset({'49510'}),1
0.01494328097731239,frozenset({'49512'}),1
0.004253926701570681,frozenset({'53101'}),1
0.0030541012216404886,frozenset({'53102'}),1
0.00643542757417103,frozenset({'55555'}),1
0.03479493891797557,frozenset({'62501'}),1
0.0032722513089005235,frozenset({'66212'}),1
0.003599476439790576,frozenset({'66301'}),1
0.033267888307155324,frozenset({'67211'}),1
0.08322425828970331,frozenset({'71101'}),1
0.014616055846422338,frozenset({'71109'}),1
0.05682809773123909,frozenset({'71201'}),1
0.0029450261780104713,frozenset({'71209'}),1
0.009598603839441536,frozenset({'72211'}),1
0.009271378708551483,frozenset({'72221'}),1
0.006544502617801047,frozenset({'72311'}),1
0.009380453752181502,frozenset({'72321'}),1
0.0025087260034904013,frozenset({'72331'}),1
0.002617801047120419,frozenset({'72421'}),1
0.0030541012216404886,frozenset({'79932'}),1
0.0032722513089005235,frozenset({'79951'}),1
0.003817626527050611,frozenset({'79953'}),1
0.01112565445026178,frozenset({'80000'}),1
0.0034904013961605585,frozenset({'92416'}),1
0.020287958115183247,frozenset({'94303'}),1
0.02530541012216405,frozenset({'96103'}),1
0.004363001745200698,frozenset({'97113'}),1
0.00512652705061082,frozenset({'97121'}),1
0.003381326352530541,frozenset({'97123'}),1
0.15903141361256545,frozenset({'99111'}),1
0.0030541012216404886,frozenset({'99333'}),1
0.004799301919720768,frozenset({'99555'}),1
0.016906631762652707,frozenset({'99600'}),1
0.05922774869109947,frozenset({'99700'}),1
0.004908376963350785,"frozenset({'21212', '21213'})",2
0.003926701570680628,"frozenset({'21212', '21221'})",2
0.009598603839441536,"frozenset({'21212', '21222'})",2
0.006544502617801047,"frozenset({'21223', '21212'})",2
0.0030541012216404886,"frozenset({'21212', '21224'})",2
0.0031631762652705063,"frozenset({'21212', '23113'})",2
0.008616928446771378,"frozenset({'43412', '21212'})",2
0.0063263525305410125,"frozenset({'43413', '21212'})",2
0.0031631762652705063,"frozenset({'21212', '99111'})",2
0.003926701570680628,"frozenset({'21212', '99700'})",2
0.0029450261780104713,"frozenset({'21213', '21221'})",2
0.005453752181500873,"frozenset({'21222', '21213'})",2
0.0037085514834205935,"frozenset({'21223', '21213'})",2
0.0030541012216404886,"frozenset({'21213', '21224'})",2
0.0025087260034904013,"frozenset({'21213', '23113'})",2
0.004799301919720768,"frozenset({'43412', '21213'})",2
0.0034904013961605585,"frozenset({'43413', '21213'})",2
0.0027268760907504363,"frozenset({'99111', '21213'})",2
0.009598603839441536,"frozenset({'21222', '21221'})",2
0.0063263525305410125,"frozenset({'21223', '21221'})",2
0.0025087260034904013,"frozenset({'21224', '21221'})",2
0.0027268760907504363,"frozenset({'23113', '21221'})",2
0.0030541012216404886,"frozenset({'33131', '21221'})",2
0.0031631762652705063,"frozenset({'43400', '21221'})",2
0.0063263525305410125,"frozenset({'43412', '21221'})",2
0.005235602094240838,"frozenset({'43413', '21221'})",2
0.002617801047120419,"frozenset({'43414', '21221'})",2
0.0032722513089005235,"frozenset({'99111', '21221'})",2
0.003381326352530541,"frozenset({'99700', '21221'})",2
0.009489528795811518,"frozenset({'21223', '21222'})",2
0.0041448516579406635,"frozenset({'21222', '21224'})",2
0.003599476439790576,"frozenset({'23112', '21222'})",2
0.004908376963350785,"frozenset({'21222', '23113'})",2
0.0028359511343804536,"frozenset({'23311', '21222'})",2
0.0028359511343804536,"frozenset({'21222', '23321'})",2
0.0029450261780104713,"frozenset({'23322', '21222'})",2
0.003926701570680628,"frozenset({'27211', '21222'})",2
0.003599476439790576,"frozenset({'21222', '33131'})",2
0.01156195462478185,"frozenset({'43412', '21222'})",2
0.009925828970331589,"frozenset({'43413', '21222'})",2
0.004363001745200698,"frozenset({'21222', '43414'})",2
0.0027268760907504363,"frozenset({'49211', '21222'})",2
0.0031631762652705063,"frozenset({'21222', '71101'})",2
0.006217277486910994,"frozenset({'21222', '99111'})",2
0.006108202443280977,"frozenset({'21222', '99700'})",2
0.0032722513089005235,"frozenset({'21223', '21224'})",2
0.002617801047120419,"frozenset({'21223', '23112'})",2
0.0031631762652705063,"frozenset({'21223', '23113'})",2
0.003817626527050611,"frozenset({'21223', '27211'})",2
0.004472076788830715,"frozenset({'21223', '33131'})",2
0.008616928446771378,"frozenset({'21223', '43412'})",2
0.007526178010471204,"frozenset({'21223', '43413'})",2
0.0030541012216404886,"frozenset({'21223', '43414'})",2
0.002617801047120419,"frozenset({'21223', '71201'})",2
0.004908376963350785,"frozenset({'21223', '99111'})",2
0.004363001745200698,"frozenset({'21223', '99700'})",2
0.0028359511343804536,"frozenset({'33131', '21224'})",2
0.003381326352530541,"frozenset({'43412', '21224'})",2
0.0032722513089005235,"frozenset({'43413', '21224'})",2
0.008507853403141362,"frozenset({'23112', '23111'})",2
0.006653577661431064,"frozenset({'23111', '23113'})",2
0.0034904013961605585,"frozenset({'23114', '23111'})",2
0.007962478184991274,"frozenset({'23311', '23111'})",2
0.00599912739965096,"frozenset({'23312', '23111'})",2
