antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'27211'}),frozenset({'23324'}),0.00261172373766686,0.0030953762816792415,0.005707100019346102,2.185185185185185,705.9513888888889,1.0,0.005699015751634229,inf,1.0011983253034031,inf,2.1888651702352457,2.0144675925925926
frozenset({'23324'}),frozenset({'27211'}),0.0030953762816792415,0.00261172373766686,0.005707100019346102,1.8437499999999998,705.9513888888888,1.0,0.005699015751634229,inf,1.0016840609551125,inf,1.8459594122781493,2.0144675925925926
frozenset({'23111'}),frozenset({'23311'}),0.0035790288256916233,0.003869220352099052,0.008995937318630296,2.5135135135135136,649.6175675675676,1.0,0.008982089267457182,inf,1.0020469878172387,-5.812499999999998,2.519392377423063,2.4192567567567567
frozenset({'23311'}),frozenset({'23111'}),0.003869220352099052,0.0035790288256916233,0.008995937318630296,2.325,649.6175675675676,1.0,0.008982089267457182,inf,1.0023389028457348,-5.812499999999998,2.32975924667508,2.4192567567567567
frozenset({'23323'}),frozenset({'23312'}),0.004546333913716386,0.0030953762816792415,0.008318823757012962,1.8297872340425534,591.1356382978724,1.0,0.00830475114284785,inf,1.0028677123609928,-12.285714285714283,1.83236371293731,2.258643617021277
frozenset({'23312'}),frozenset({'23323'}),0.0030953762816792415,0.004546333913716386,0.008318823757012962,2.6875,591.1356382978723,1.0,0.00830475114284785,inf,1.0014080756750414,-12.285714285714283,2.6952069769701685,2.258643617021277
frozenset({'23321'}),frozenset({'23311'}),0.006577674598568389,0.003869220352099052,0.014025923776359063,2.1323529411764706,551.1066176470588,1.0,0.014000473303932797,inf,1.0047946815297317,-3.9189189189189193,2.136751282373505,2.8786764705882355
frozenset({'23311'}),frozenset({'23321'}),0.003869220352099052,0.006577674598568389,0.014025923776359063,3.625,551.1066176470588,1.0,0.014000473303932797,inf,1.0020626703544713,-3.9189189189189193,3.642380720545278,2.8786764705882355
"frozenset({'33131', '99111'})",frozenset({'27211'}),0.0027084542464693366,0.00261172373766686,0.0035790288256916233,1.3214285714285714,505.96031746031747,1.0,0.003571955091443735,inf,1.000734002673867,2.055555555555556,1.3222702522964378,1.345899470899471
frozenset({'27211'}),"frozenset({'33131', '99111'})",0.00261172373766686,0.0027084542464693366,0.0035790288256916233,1.3703703703703705,505.96031746031747,1.0,0.003571955091443735,inf,1.0006369476837909,2.055555555555556,1.3713762258864104,1.345899470899471
frozenset({'23312'}),frozenset({'23311'}),0.0030953762816792415,0.003869220352099052,0.005803830528148578,1.875,484.59375,1.0,0.0057918538352421,inf,1.0010349957953295,5.0,1.8783987181977082,1.6875
frozenset({'23311'}),frozenset({'23312'}),0.003869220352099052,0.0030953762816792415,0.005803830528148578,1.5,484.59375,1.0,0.0057918538352421,inf,1.0018126497054445,5.0,1.5015524936929943,1.6875
frozenset({'27211'}),"frozenset({'49421', '99111'})",0.00261172373766686,0.00261172373766686,0.0032888372992841944,1.2592592592592593,482.1563786008231,1.0,0.003282016198402302,inf,1.0005391158500059,1.7000000000000002,1.2599381458851928,1.2592592592592593
"frozenset({'49421', '99111'})",frozenset({'27211'}),0.00261172373766686,0.00261172373766686,0.0032888372992841944,1.2592592592592593,482.1563786008231,1.0,0.003282016198402302,inf,1.0005391158500059,1.7000000000000002,1.2599381458851928,1.2592592592592593
frozenset({'27211'}),frozenset({'23312'}),0.00261172373766686,0.0030953762816792415,0.003869220352099052,1.4814814814814816,478.6111111111112,1.0,0.0038611360843871794,inf,1.0005237125400057,2.105263157894737,1.4829764754080688,1.365740740740741
frozenset({'23312'}),frozenset({'27211'}),0.0030953762816792415,0.00261172373766686,0.003869220352099052,1.25,478.6111111111111,1.0,0.0038611360843871794,inf,1.0010091209004461,2.105263157894737,1.2506546406750072,1.365740740740741
frozenset({'27211'}),frozenset({'23323'}),0.00261172373766686,0.004546333913716386,0.005610369510543625,2.148148148148148,472.5011820330969,1.0,0.005598495742341812,inf,1.0004966239603503,3.6249999999999987,2.153391852643626,1.6910953506698185
frozenset({'23323'}),frozenset({'27211'}),0.004546333913716386,0.00261172373766686,0.005610369510543625,1.2340425531914891,472.5011820330968,1.0,0.005598495742341812,inf,1.002441034851343,3.6249999999999987,1.234655408291496,1.6910953506698185
frozenset({'27211'}),"frozenset({'99111', '43413'})",0.00261172373766686,0.0025149932288643837,0.0029986457728767655,1.1481481481481484,456.5213675213676,1.0,0.002992077305360869,inf,1.0004223488225854,1.4090909090909094,1.1485216791655894,1.1702279202279202
"frozenset({'99111', '43413'})",frozenset({'27211'}),0.0025149932288643837,0.00261172373766686,0.0029986457728767655,1.1923076923076923,456.5213675213675,1.0,0.002992077305360869,inf,1.0003253334668034,1.4090909090909094,1.1928112620576978,1.1702279202279202
"frozenset({'20111', '99111'})",frozenset({'27211'}),0.0032888372992841944,0.00261172373766686,0.0036757593344940993,1.1176470588235294,427.93464052287584,1.0,0.0036671698000502345,inf,1.000955173259235,1.652173913043478,1.117955125023533,1.2625272331154684
frozenset({'27211'}),"frozenset({'20111', '99111'})",0.00261172373766686,0.0032888372992841944,0.0036757593344940993,1.4074074074074074,427.9346405228758,1.0,0.0036671698000502345,inf,1.0002756381789504,1.652173913043478,1.4087517253278123,1.2625272331154684
frozenset({'23322'}),frozenset({'23312'}),0.011027278003482298,0.0030953762816792415,0.014509576320371444,1.3157894736842106,425.0822368421053,1.0,0.014475442745587982,inf,1.0087715179968701,-37.49999999999994,1.3167699960166281,3.001644736842105
frozenset({'23312'}),frozenset({'23322'}),0.0030953762816792415,0.011027278003482298,0.014509576320371444,4.687499999999999,425.0822368421052,1.0,0.014475442745587982,inf,1.0007451969726373,-37.49999999999994,4.728616490610328,3.001644736842105
frozenset({'23312'}),frozenset({'23321'}),0.0030953762816792415,0.006577674598568389,0.00860901528342039,2.78125,422.83180147058823,1.0,0.008588654905479378,inf,1.0007326374730985,8.090909090909085,2.79304406037001,2.0450367647058822
