antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'26102'}),"frozenset({'99111', '27205'})",0.0037191543519762425,0.003408046383369865,0.0031817860425652268,0.855513307984791,251.02748371014312,1.0,0.00316911099202678,6.897465363188787,0.9997345395131122,0.8064516129032259,0.8550192067165834,0.8945616332455075
"frozenset({'99111', '27205'})",frozenset({'26102'}),0.003408046383369865,0.0037191543519762425,0.0031817860425652268,0.9336099585062241,251.02748371014312,1.0,0.00316911099202678,15.006480237573362,0.9994224505176063,0.8064516129032259,0.9333621219520757,0.8945616332455075
frozenset({'27205'}),frozenset({'26102'}),0.003931273421480591,0.0037191543519762425,0.003535317825072474,0.8992805755395685,241.797056651257,1.0,0.003520696812418166,9.891645538933968,0.9997947669548676,0.859106529209622,0.8989045860909639,0.9249254588724458
frozenset({'26102'}),frozenset({'27205'}),0.0037191543519762425,0.003931273421480591,0.003535317825072474,0.9505703422053232,241.79705665125698,1.0,0.003520696812418166,20.15123654539621,0.9995818997331517,0.859106529209622,0.9503752537593797,0.9249254588724458
frozenset({'27205'}),"frozenset({'99111', '26102'})",0.003931273421480591,0.0033656225694689954,0.0031817860425652268,0.8093525179856117,240.47631642585097,1.0,0.003168554860011138,5.227629375956375,0.9997719632831861,0.7731958762886599,0.8087087036813787,0.877365334623058
"frozenset({'99111', '26102'})",frozenset({'27205'}),0.0033656225694689954,0.003931273421480591,0.0031817860425652268,0.9453781512605043,240.47631642585097,1.0,0.003168554860011138,18.23571976351446,0.9992045316596588,0.7731958762886599,0.9451625703307432,0.877365334623058
frozenset({'72211'}),frozenset({'72221'}),0.004765608428197695,0.005189846567206392,0.002616135190553631,0.5489614243323442,105.77604120343793,1.0,0.0025914024140118994,2.2055988270187594,0.9952892219850645,0.3564547206165703,0.5466083914491061,0.5265243088964173
frozenset({'72221'}),frozenset({'72211'}),0.005189846567206392,0.004765608428197695,0.002616135190553631,0.5040871934604905,105.77604120343793,1.0,0.0025914024140118994,2.0068737456420407,0.9957136644235071,0.3564547206165703,0.5017125505919262,0.5265243088964173
frozenset({'62501'}),"frozenset({'67211', '99111'})",0.016870536661245845,0.011298875768931627,0.010803931273421481,0.6404023470243086,56.67841297850311,1.0,0.010613313175530858,2.7494648979199656,0.999213872711354,0.6221498371335505,0.6362928652929799,0.7982987955396887
"frozenset({'67211', '99111'})",frozenset({'62501'}),0.011298875768931627,0.016870536661245845,0.010803931273421481,0.956195244055069,56.678412978503104,1.0,0.010613313175530858,22.443441177361905,0.9935829689718912,0.6221498371335505,0.9554435528804436,0.7982987955396887
frozenset({'67211'}),"frozenset({'62501', '99111'})",0.01629074453793396,0.011737255179240614,0.010803931273421481,0.6631944444444445,56.50336763721553,1.0,0.01061272264771993,2.934223407302874,0.9985693784827089,0.6272577996715929,0.6591943212261414,0.791838186077644
"frozenset({'62501', '99111'})",frozenset({'67211'}),0.011737255179240614,0.01629074453793396,0.010803931273421481,0.9204819277108434,56.503367637215526,1.0,0.01061272264771993,12.37088912171992,0.993968400592297,0.6272577996715929,0.9191650664587825,0.791838186077644
frozenset({'67211'}),frozenset({'62501'}),0.01629074453793396,0.016870536661245845,0.015343279360814538,0.9418402777777778,55.82752325486636,1.0,0.015068445757848332,16.9039573397947,0.9983515787929795,0.8611111111111113,0.9408422548697615,0.9256560986541865
frozenset({'62501'}),frozenset({'67211'}),0.016870536661245845,0.01629074453793396,0.015343279360814538,0.9094719195305953,55.82752325486636,1.0,0.015068445757848332,10.86634390524302,0.9989403480276177,0.8611111111111113,0.9079727267312514,0.9256560986541865
frozenset({'49219'}),frozenset({'49211'}),0.007608003959555964,0.016686700134342078,0.006222159372127554,0.8178438661710037,49.01171948837502,1.0,0.006095206891433557,5.398189340078815,0.9871066277866227,0.34428794992175277,0.8147527000256349,0.5953626110516035
frozenset({'49211'}),frozenset({'49219'}),0.016686700134342078,0.007608003959555964,0.006222159372127554,0.37288135593220334,49.01171948837502,1.0,0.006095206891433557,1.582462912605032,0.9962203468495264,0.34428794992175277,0.3680736578187406,0.5953626110516035
frozenset({'72421'}),frozenset({'71201'}),0.003761578165877112,0.025171462914516014,0.003422187654670155,0.9097744360902257,36.14308946523613,1.0,0.003327503229367726,10.804349619364128,0.9760035071382158,0.13414634146341464,0.9074446833701357,0.5228647461350004
frozenset({'71201'}),frozenset({'72421'}),0.025171462914516014,0.003761578165877112,0.003422187654670155,0.1359550561797753,36.14308946523613,1.0,0.003327503229367726,1.1529937521877367,0.9974391974233722,0.13414634146341464,0.13269261164463386,0.5228647461350004
frozenset({'49211'}),frozenset({'43411'}),0.016686700134342078,0.007438308703952485,0.002898960616559429,0.17372881355932202,23.355956370432427,1.0,0.002774839789709907,1.2012541494659856,0.9734276649590398,0.13657561625582945,0.1675366945083625,0.2817313269317523
frozenset({'43411'}),frozenset({'49211'}),0.007438308703952485,0.016686700134342078,0.002898960616559429,0.3897338403041825,23.355956370432427,1.0,0.002774839789709907,1.6112859680041625,0.9643575586335014,0.13657561625582945,0.3793777021228196,0.2817313269317523
frozenset({'49421'}),frozenset({'49512'}),0.048250017676589124,0.016771547762143818,0.014735204694902072,0.3053927315357562,18.208977243297635,1.0,0.013925977218914873,1.415517079761842,0.9929940122680645,0.29302587176602923,0.29354437731811184,0.5919881026987381
frozenset({'49512'}),frozenset({'49421'}),0.016771547762143818,0.048250017676589124,0.014735204694902072,0.8785834738617201,18.208977243297635,1.0,0.013925977218914873,7.83871860441365,0.9612028938669841,0.29302587176602923,0.8724281288223635,0.5919881026987381
frozenset({'49421'}),frozenset({'49510'}),0.048250017676589124,0.03703598953545924,0.0324683589054656,0.6729191090269637,18.16932981857264,1.0,0.030681371755709723,2.944115773929224,0.9928681001167894,0.6147255689424365,0.6603394442381599,0.7747947969724356
frozenset({'49510'}),frozenset({'49421'}),0.03703598953545924,0.048250017676589124,0.0324683589054656,0.8766704849179076,18.169329818572635,1.0,0.030681371755709723,7.717130661625425,0.9813058291553142,0.6147255689424365,0.8704181587889074,0.7747947969724356
"frozenset({'23602', '99111'})",frozenset({'27211'}),0.003266633670366966,0.05478328501732306,0.0026302764618539205,0.8051948051948051,14.697818959563923,1.0,0.002451319538443023,4.852112470244406,0.9350170526003613,0.04746108701199285,0.7939042002565887,0.4266035977445373
frozenset({'71109'}),frozenset({'71101'}),0.0054302481793113205,0.048744962172099275,0.003662589266775083,0.6744791666666665,13.836899991538532,1.0,0.0033978920246894415,2.92225547620731,0.9327947841121264,0.07250839865621499,0.6577985709525083,0.3748084838265157
frozenset({'71101'}),frozenset({'71109'}),0.048744962172099275,0.0054302481793113205,0.003662589266775083,0.07513780098636494,13.836899991538532,1.0,0.0033978920246894415,1.0753707448324696,0.9752689237288154,0.07250839865621499,0.07008814884973621,0.3748084838265157
