antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'99111', '27205'})",frozenset({'26102'}),0.00393141858687343,0.003603800371300644,0.003057770012012668,0.7777777777777779,215.82154882154887,1.0,0.003043601964249555,4.4837828983291494,0.9992951900637462,0.6829268292682927,0.7769740367285305,0.8131313131313131
frozenset({'26102'}),"frozenset({'99111', '27205'})",0.003603800371300644,0.00393141858687343,0.003057770012012668,0.8484848484848485,215.82154882154884,1.0,0.003043601964249555,6.574052637326637,0.9989666186509676,0.6829268292682927,0.8478868279328755,0.8131313131313131
frozenset({'27205'}),"frozenset({'99111', '26102'})",0.004477448946161406,0.0031669760838702633,0.003057770012012668,0.6829268292682927,215.64003364171575,1.0,0.0030435900382834247,3.1438579985047173,0.999839371904971,0.6666666666666667,0.6819194758555824,0.8242220353238016
"frozenset({'99111', '26102'})",frozenset({'27205'}),0.0031669760838702633,0.004477448946161406,0.003057770012012668,0.9655172413793104,215.64003364171575,1.0,0.0030435900382834247,28.870153980561355,0.9985249467885314,0.6666666666666667,0.9653621521841098,0.8242220353238016
frozenset({'26102'}),frozenset({'27205'}),0.003603800371300644,0.004477448946161406,0.0033853882275854535,0.9393939393939393,209.80561714708057,1.0,0.0033692523954107975,16.426122092388322,0.9988332791220602,0.7209302325581396,0.9391213583841929,0.8477457501847745
frozenset({'27205'}),frozenset({'26102'}),0.004477448946161406,0.003603800371300644,0.0033853882275854535,0.7560975609756097,209.80561714708054,1.0,0.0033692523954107975,4.085224418477666,0.999709833118657,0.7209302325581396,0.7552154061654601,0.8477457501847745
"frozenset({'99111', '27205'})",frozenset({'79932'}),0.00393141858687343,0.003057770012012668,0.0025117396527246914,0.6388888888888888,208.93948412698413,1.0,0.0024997182788650805,2.760763098428272,0.9991419705123865,0.5609756097560976,0.6377813074329669,0.73015873015873
frozenset({'79932'}),"frozenset({'99111', '27205'})",0.003057770012012668,0.00393141858687343,0.0025117396527246914,0.8214285714285713,208.9394841269841,1.0,0.0024997182788650805,5.577984055913505,0.9982663942429049,0.5609756097560976,0.8207237614923174,0.73015873015873
frozenset({'27205'}),"frozenset({'79932', '99111'})",0.004477448946161406,0.002839357868297477,0.0025117396527246914,0.5609756097560975,197.57129455909944,1.0,0.002499026572829508,2.271310351522211,0.9994133582616327,0.5227272727272728,0.5597255129270162,0.7227954971857411
"frozenset({'79932', '99111'})",frozenset({'27205'}),0.002839357868297477,0.004477448946161406,0.0025117396527246914,0.8846153846153846,197.57129455909944,1.0,0.002499026572829508,8.627862109133265,0.9977715665220726,0.5227272727272728,0.8840964323083673,0.7227954971857411
"frozenset({'79953', '99111'})",frozenset({'25761'}),0.002620945724582287,0.005132685377306978,0.0025117396527246914,0.9583333333333331,186.7118794326241,1.0,0.0024982871629294127,23.876815550944528,0.9972579132529431,0.47916666666666663,0.9581183680936698,0.7238475177304964
frozenset({'25761'}),"frozenset({'79953', '99111'})",0.005132685377306978,0.002620945724582287,0.0025117396527246914,0.48936170212765956,186.7118794326241,1.0,0.0024982871629294127,1.9532006479560262,0.9997756884455685,0.47916666666666663,0.4880198298897382,0.7238475177304964
frozenset({'79932'}),frozenset({'27205'}),0.003057770012012668,0.004477448946161406,0.0025117396527246914,0.8214285714285713,183.45905923344947,1.0,0.002498048643606801,5.574926285901491,0.9975996227978682,0.4999999999999999,0.8206254309534255,0.6912020905923344
frozenset({'27205'}),frozenset({'79932'}),0.004477448946161406,0.003057770012012668,0.0025117396527246914,0.5609756097560975,183.45905923344947,1.0,0.002498048643606801,2.27081285719486,0.9990222637693877,0.4999999999999999,0.559629056691487,0.6912020905923344
frozenset({'79953'}),"frozenset({'25761', '99111'})",0.003822212515015835,0.00393141858687343,0.0025117396527246914,0.657142857142857,167.15158730158728,1.0,0.0024967129354001778,2.9052000291216182,0.9978313298952365,0.47916666666666663,0.6557896220652496,0.6480158730158729
"frozenset({'25761', '99111'})",frozenset({'79953'}),0.00393141858687343,0.003822212515015835,0.0025117396527246914,0.6388888888888888,167.15158730158728,1.0,0.0024967129354001778,2.758646180727648,0.9979407292297278,0.47916666666666663,0.63750334965529,0.6480158730158729
